mop type,fu,transfer_Type_mem,transfer_type_reg,mnemonic
consistentComp,FloatCmp,,,FUCOMI
consistentComp,FloatCmp,,,FCOMI
consistentMovAndPop,,flt,flt,FSTP
consistentComp,FloatAdd,,,FADD
consistentComp,FloatAdd,,,FADD
consistentComp,FloatMult,,,FMUL
consistentComp,FloatMult,,,FMUL
consistentComp,FloatCmp,,,FCOM
consistentComp,FloatCmp,,,FCOM2
consistentCompAndPushPop,FloatCmp,,,FCOMP
consistentCompAndPushPop,FloatCmp,,,FCOMP3
consistentComp,FloatAdd,,,FSUB
consistentComp,FloatAdd,,,FSUBR
consistentComp,FloatAdd,,,FSUBR
consistentComp,FloatAdd,,,FSUB
consistentComp,FloatDiv,,,FDIV
consistentComp,FloatDiv,,,FDIVR
consistentComp,FloatDiv,,,FDIVR
consistentCompAndPushPop,FloatDiv,,,FDIV
consistentMov,,flt,flt,FLD
consistentMov,,flt,flt,FFREE
consistentMovAndPop,,flt,flt,FISTTP
consistentMov,,flt,flt,FXCH4
consistentMov,,flt,flt,FST
consistentMov,,flt,flt,FST
consistentMovAndPop,,flt,flt,FSTP
consistentMovAndPop,,flt,flt,FSTP
ignore,,,,FRSTOR
consistentComp,FloatCmp,,,FUCOM
consistentComp,FloatCmp,,,FUCOM
consistentCompAndPushPop,FloatCmp,,,FUCOMP
consistentCompAndPushPop,FloatCmp,,,FUCOMP
ignore,,,,FNSAVE
ignore,,,,FSAVE
ignore,,,,FNSTSW
ignore,,,,FSTSW
consistentComp,FloatAdd,,,FIADD
consistentCompAndPushPop,FloatAdd,,,FADDP
consistentCompAndPushPop,FloatAdd,,,FADDP
consistentComp,FloatMult,,,FIMUL
consistentCompAndPushPop,FloatMult,,,FMULP
consistentCompAndPushPop,FloatMult,,,FMULP
consistentComp,FloatCmp,,,FICOM
consistentCompAndPushPop,FloatCmp,,,FCOMP5
consistentCompAndPushPop,FloatCmp,,,FICOMP
consistentCompAndPushPop,FloatCmp,,,FCOMPP
consistentComp,FloatAdd,,,FISUB
consistentCompAndPushPop,FloatAdd,,,FSUBRP
consistentCompAndPushPop,FloatAdd,,,FSUBRP
consistentComp,FloatAdd,,,FISUBR
consistentCompAndPushPop,FloatAdd,,,FSUBP
consistentCompAndPushPop,FloatAdd,,,FSUBP
consistentComp,FloatDiv,,,FIDIV
consistentCompAndPushPop,FloatDiv,,,FDIVRP
consistentCompAndPushPop,FloatDiv,,,FDIVRP
consistentComp,FloatDiv,,,FIDIVR
consistentCompAndPushPop,FloatDiv,,,FDIVP
consistentCompAndPushPop,FloatDiv,,,FDIVP
consistentMov,,flt,flt,FILD
consistentCompAndPushPop,FloatAdd,,,FFREEP
consistentCompAndPushPop,FloatAdd,,,FISTTP
consistentMov,,flt,flt,FXCH7
consistentMov,,flt,flt,FIST
consistentMovAndPop,,flt,flt,FSTP8
consistentMovAndPop,,flt,flt,FISTP
consistentMovAndPop,,flt,flt,FSTP9
consistentMovAndPop,,flt,flt,FBLD
ignore,,,,FNSTSW
ignore,,,,FSTSW
consistentMov,,flt,flt,FILD
consistentCompAndPushPop,FloatCmp,,,FUCOMIP
ignore,,,,FBSTP
consistentCompAndPushPop,FloatCmp,,,FCOMIP
ignore,,,,FISTP
ignore,,,,LOOPNZ
,,,,
ignore,,,,LOOPZ
,,,,
ignore,,,,LOOP
jmpInstr,IntAlu,,,JECXZ
ignore,,,,
,,,,IN
ignore,,,,IN
,,,,OUT
ignore,,,,OUT
,,,,CALL
jmpInstr,IntAlu,,,JMP
ignore,,,,invalid
jmpInstr,IntAlu,,,JMP
ignore,,,,IN
ignore,,,,IN
ignore,,,,OUT
ignore,,,,OUT
ignore,,,,LOCK
ignore,,,,undefined
ignore,,,,INT1
ignore,,,,
ignore,,,,REPNZ
ignore,,,,
ignore,,,,REP
ignore,,,,no mnemonic
ignore,,,,REPZ
ignore,,,,
ignore,,,,REP
ignore,,,,no mnemonic
ignore,,,,HLT
ignore,,,,CMC
consistentComp,IntAlu,,,TEST
consistentComp,IntAlu,,,TEST
consistentComp,IntAlu,,,NOT
consistentComp,IntAlu,,,NEG
consistentComp,IntMult,,,MUL
consistentComp,IntMult,,,IMUL
consistentComp,IntDiv,,,DIV
consistentComp,IntDiv,,,IDIV
consistentComp,IntAlu,,,TEST
consistentComp,IntAlu,,,TEST
consistentComp,IntAlu,,,NOT
consistentComp,IntAlu,,,NEG
consistentComp,IntMult,,,MUL
consistentComp,IntMult,,,IMUL
consistentComp,IntDiv,,,DIV
consistentComp,IntDiv,,,IDIV
ignore,,,,CLC
ignore,,,,STC
ignore,,,,CLI
ignore,,,,STI
ignore,,,,CLD
ignore,,,,STD
consistentComp,IntAlu,,,INC
consistentComp,IntAlu,,,DEC
consistentComp,IntAlu,,,INC
consistentComp,IntAlu,,,DEC
ignore,,,,CALL
ignore,,,,CALL
ignore,,,,CALLF
jmpInstr,IntAlu,,,JMP
jmpInstr,IntAlu,,,JMP
jmpInstr,IntAlu,,,JMPF
pushPop,,int,,PUSH
pushPop,,int,,PUSH
ignore,,,,mnemonic
ignore,,,,SLDT
ignore,,,,
ignore,,,,STR
ignore,,,,
ignore,,,,LLDT
ignore,,,,LTR
ignore,,,,VERR
ignore,,,,VERW
ignore,,,,SGDT
ignore,,,,VMCALL
ignore,,,,VMLAUNCH
ignore,,,,VMRESUME
ignore,,,,VMXOFF
ignore,,,,SIDT
ignore,,,,MONITOR
ignore,,,,MWAIT
ignore,,,,LGDT
ignore,,,,XGETBV
ignore,,,,XSETBV
ignore,,,,LIDT
ignore,,,,SMSW
ignore,,,,SMSW
ignore,,,,LMSW
ignore,,,,INVLPG
ignore,,,,SWAPGS
ignore,,,,RDTSCP
ignore,,,,LAR
ignore,,,,LAR
ignore,,,,
ignore,,,,LSL
ignore,,,,SYSCALL
ignore,,,,CLTS
ignore,,,,SYSRET
ignore,,,,INVD
ignore,,,,WBINVD
ignore,,,,UD2
ignore,,,,NOP
consistentMov,,flt,int,MOVUPS
mov64Simd,,flt,int,MOVSS
consistentMov,,flt,int,MOVUPD
mov64Simd,,flt,int,MOVSD
consistentMov,,flt,int,MOVUPS
mov64Simd,,flt,int,MOVSS
consistentMov,,flt,int,MOVUPD
mov64Simd,,flt,int,MOVSD
movHLLH,,flt,int,MOVHLPS
mov64Simd,,flt,int,MOVLPS
mov64Simd,,flt,int,MOVLPD
mov64bc,,flt,int,MOVDDUP
mov64bc,,flt,int,MOVSLDUP
mov64Simd,,flt,int,MOVLPS
mov64Simd,,flt,int,MOVLPD
ignore,,,,UNPCKLPS
ignore,,,,UNPCKLPD
ignore,,,,UNPCKHPS
ignore,,,,UNPCKHPD
movHLLH,,flt,int,MOVLHPS
mov64Simd,,flt,int,MOVHPS
mov64Simd,,flt,int,MOVHPD
ignore,,,,MOVSHDUP
mov64Simd,,flt,int,MOVHPS
mov64Simd,,flt,int,MOVHPD
ignore,,,,PREFETCHNTA
ignore,,,,PREFETCHT0
ignore,,,,PREFETCHT1
ignore,,,,PREFETCHT2
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
ignore,,,,HINT_NOP
